country,num_farmers,total_production,min_farmer_production,max_farmer_production,mean_farmer_production,median_farmer_production,std_farmer_production,num_middlemen,total_middlemen_capacity,min_middleman_capacity,max_middleman_capacity,mean_middleman_capacity,median_middleman_capacity,std_middleman_capacity,num_exporters,total_export_capacity,eu_exports,other_exports,local_sales,num_eu_exporters,min_exporter_capacity,max_exporter_capacity,mean_exporter_capacity,median_exporter_capacity,std_exporter_capacity
Indonesia,1341894,582000011.0000274,11.96970915852986,14283.013255463155,433.7153389164867,315.2244112998583,410.5724599384814,11580,582000010.999993,29398.715844579492,430482.5782589533,50259.068307426605,29398.715844579492,48154.62370927885,107,317664223.9999999,76731135.00000003,240933089.0,264335786.99999997,80,88197.33180703151,86595764.30291934,2968824.523364485,220039.3600072898,9617379.560903093
Kenya,480539,47938531.000004776,11.984043269117608,3594.889722120542,99.7599175092969,72.46882202740063,94.26220935392728,6930,47938530.99999851,2924.9944116633396,30463.286363576965,6917.536940836941,4038.7842444938215,6346.594198331009,83,64099105.00000006,28337472.999999996,35761632.0,-16160574.00000001,44,109779.14925254873,12368442.951841606,772278.373493976,273495.1454015968,1632402.916122911
Laos,30947,27018965.999999885,19.436634679569266,17183.855878659455,873.0722202475198,630.9237614678473,812.3385980839186,1750,27018966.00000013,2132.393730174006,32680.282334177195,15439.409142857146,12141.693947226906,10744.700136576472,41,31573791.000000004,8492881.000000002,23080910.0,-4554825.0,21,53502.20462417891,5881892.696182685,770092.4634146342,167233.81695920238,1344578.1126355813
Mexico,382925,245399986.99999633,11.979228090366014,19747.57809117747,640.8565306522165,465.70014020417875,602.3215153618713,6180,245399987.00001064,14821.06766824589,169471.451343696,39708.7357605178,24065.419623706963,36942.59104017237,78,86014372.0,36737708.000000015,49276664.00000001,159385614.99999994,48,63145.71103398398,19907511.848696757,1102748.3589743588,330693.8648211927,2837085.1958130626
Nicaragua,45283,159657281.00000146,99.48042289551782,73004.63200229606,3525.7664244860102,2566.54607142988,3281.4824533631545,2120,159657280.9999996,11891.771790753635,184069.91998095383,75310.03820754717,54791.12765363579,57159.75008495997,46,158801221.0,44548902.0,114252319.0,856059.9999999995,37,53127.88751534595,74209609.53944908,3452200.4565217393,539939.3099401244,11016798.150261246
Panama,8619,4799995.999999998,26.39079926086114,7072.509462356403,556.9086901032603,404.3685372868009,503.17452309731186,920,4799995.999999986,919.1363945470133,9261.872710801155,5217.386956521739,4723.282850276,3089.036494721733,30,2685286.0,325494.0,2359792.0,2114709.9999999995,6,12901.12468431743,530532.0324052218,89509.53333333334,38472.30869492103,115196.05484991262
Papua New Guinea,350322,54000005.000001214,11.963779732032071,3595.443400207265,154.14391616855352,111.75179572986463,145.9311050607433,5910,54000004.999997795,3315.400123665092,49729.254420983,9137.05668358714,5556.482796329378,9001.487395447864,76,47813081.0,22826255.999999996,24986824.99999999,6186924.000000003,36,52541.53828277803,9362658.527521517,629119.4868421054,149938.88225449383,1646934.2047751423
Peru,222028,251999993.0000009,13.385835596071574,38148.0552162961,1134.9919514655812,826.0101107920041,1072.1209879080798,4710,251999992.9999981,16290.545338185326,221799.69818080237,53503.18322717622,34102.81457491901,50171.08411490068,68,222390479.00000006,118444199.00000003,103946280.00000001,29609513.999999996,50,162718.06075885484,56624708.970769435,3270448.2205882357,960244.5116525227,7639947.975539722
Rwanda,373880,15000038.000005595,11.856753647211745,1326.802541798786,40.11992617952282,28.847255392682463,37.203423590368075,6110,15000037.999999335,892.1007855338571,16991.50038927808,2454.9980360065465,1477.5451444005525,2577.1415773812178,78,19020122.0,8926718.0,10093404.000000002,-4020084.0000000005,20,26592.432489060975,3579391.974617067,243847.7179487179,77893.44706977972,496373.4042668803
Tanzania,336712,81000000.00000048,11.973659738845873,6261.056564607197,240.56166694385715,174.8747116789516,227.885344672807,5800,80999999.99999933,5070.327586657374,61843.7123560957,13965.51724137931,8538.284154190456,12998.227279341474,76,65066307.999999985,31242910.0,33823397.999999985,15933692.000000007,31,71966.24488380701,21561386.613427263,856135.6315789475,238309.11373076087,2675033.1345025757
